非数字	20
-0.02	非数字
-0.02	非数字
1.157	20
1.157	20
1.917	20
1.917	20
3.77	20
3.77	20
2.684	17.614
2.684	17.614
非数字	3.229
非数字	3.229
1.371	非数字
1.371	非数字
0.22	20
0.22	20
1.287	非数字
1.287	非数字
5.636	非数字
5.636	非数字
-2.611	20
-2.611	20
0.268	20
0.268	20
4.114	20
4.114	20
2.455	20
2.455	20
2.67	20
2.67	20
2.293	20
2.293	20
-8.496	非数字
-8.496	非数字
2.881	非数字
2.881	非数字
-1.927	非数字
-1.927	非数字
1.812	20
1.812	20
2.489	非数字
2.489	非数字
4.814	20
4.814	20
-1.207	20
-1.207	20
1.811	20
1.811	20
非数字	0.01
非数字	0.01
0.535	非数字
0.535	非数字
2.03	20
2.03	20
非数字	1.351
非数字	1.351
0.134	非数字
0.134	非数字
-1.202	-15.919
-1.202	-15.919
非数字	2.692
非数字	2.692
1.294	非数字
1.294	非数字
2.489	非数字
2.489	非数字
2.441	20
2.441	20
0.474	20
0.474	20
14.831	20
14.831	20
-1.262	20
-1.262	20
1.337	非数字
1.337	非数字
2.203	20
2.203	20
-2.763	20
-2.763	20
非数字	20
非数字	20
2.462	非数字
2.462	非数字
1.82	20
1.82	20
0.984	20
0.984	20
2.751	20
2.751	20
0.707	非数字
0.707	非数字
-1.756	非数字
-1.756	非数字
1.414	20
1.414	20
1.551	非数字
1.551	非数字
2.583	19.276
2.583	19.276
非数字	20
非数字	20
-0.039	-12.711
-0.039	-12.711
非数字	1.73
非数字	1.73
0.342	20
0.342	20
0.706	20
0.706	20
3.47	20
3.47	20
-1.894	20
-1.894	20
0.245	非数字
0.245	非数字
1.232	非数字
1.232	非数字
1.279	20
1.279	20
9.225	20
9.225	20
5.981	20
5.981	20
2.172	非数字
2.172	非数字
1.211	20
1.211	20
0.735	-18.581
0.735	-18.581
1.885	20
1.885	20
3.388	20
3.388	20
3.308	20
3.308	20
1.59	20
1.59	20
1.307	非数字
1.307	非数字
-0.307	20
-0.307	20
0.842	20
0.842	20
3.384	非数字
3.384	非数字
2.616	20
2.616	20
-0.452	20
-0.452	20
2.016	非数字
2.016	非数字
1.615	非数字
1.615	非数字
1.867	20
1.867	20
0.732	20
0.732	20
1.248	非数字
1.248	非数字
0.534	非数字
0.534	非数字
-1.306	20
-1.306	20
1.478	20
1.478	20
2.371	非数字
2.371	非数字
1.15	11.576
