File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\MainWindow.g.i.cs,381,271,104,2,95,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Modification_Add_Dialog.g.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Modification_Add_Dialog.g.i.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Modification_Edit_Dialog.g.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Modification_Edit_Dialog.g.i.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Modification_Element_Edit_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Modification_Element_Edit_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\pConfig_Content.g.i.cs,14,2,0,0,4,1,8,8,0,1
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Quantification_Add_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Quantification_Add_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Quantification_Edit_Dialog.g.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\Quantification_Edit_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\副本 Database_Add_Dialog.g.i.cs,124,85,44,2,24,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\副本 Element_Add_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\副本 Enzymes_Add_Dialog.g.i.cs,130,89,46,2,26,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\副本 Modification_Add_Dialog.g.i.cs,171,119,57,2,37,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Debug\副本 Quantification_Add_Dialog.g.i.cs,125,85,44,2,25,0,15,20,0,0
D:\2014上半年工作\pFind3.0开发\pConfig界面开发\pConfig\pConfig\obj\Release\Amino_Acid_Edit_Dialog.g.cs,127,87,45,2,25,0,15,20,0,0
