-11.224	非数字
-11.224	非数字
0.335	35.143
0.335	35.143
2.530	77.831
2.530	77.831
非数字	1.027
非数字	1.027
2.653	非数字
2.653	非数字
2.808	非数字
2.808	非数字
3.196	-48.625
3.196	-48.625
2.355	14.723
2.355	14.723
2.486	非数字
2.486	非数字
-3.213	1000000.000
-3.213	1000000.000
-1.086	1000000.000
-1.086	1000000.000
1.514	-49.230
1.514	-49.230
1.853	非数字
1.853	非数字
8.200	1000000.000
8.200	1000000.000
2.654	非数字
2.654	非数字
-3.935	53.684
-3.935	53.684
1.725	-15.044
1.725	-15.044
6.062	1000000.000
6.062	1000000.000
2.828	1000000.000
2.828	1000000.000
非数字	5.391
非数字	5.391
7.836	1000000.000
7.836	1000000.000
1.264	-14.842
1.264	-14.842
2.190	21.040
2.190	21.040
非数字	-1.527
非数字	-1.527
-3.697	39.333
-3.697	39.333
0.566	56.553
0.566	56.553
7.630	44.411
7.630	44.411
0.153	非数字
0.153	非数字
3.426	1000000.000
3.426	1000000.000
2.254	非数字
2.254	非数字
1.198	非数字
1.198	非数字
4.871	1000000.000
4.871	1000000.000
-1.093	29.509
-1.093	29.509
-2.792	60.200
-2.792	60.200
3.171	非数字
3.171	非数字
-5.376	非数字
-5.376	非数字
-0.581	29.029
-0.581	29.029
0.105	非数字
0.105	非数字
0.618	非数字
0.618	非数字
1.121	非数字
1.121	非数字
-0.038	非数字
-0.038	非数字
0.343	1000000.000
0.343	1000000.000
-6.298	非数字
-6.298	非数字
2.789	31.086
2.789	31.086
2.444	20.435
2.444	20.435
0.737	1000000.000
0.737	1000000.000
-11.170	非数字
-11.170	非数字
1.607	34.140
1.607	34.140
0.321	27.146
0.321	27.146
-5.392	1000000.000
-5.392	1000000.000
非数字	-0.036
非数字	-0.036
-4.010	1000000.000
-4.010	1000000.000
1.862	非数字
1.862	非数字
1.455	非数字
1.455	非数字
3.337	非数字
3.337	非数字
2.718	非数字
2.718	非数字
非数字	-5.083
非数字	-5.083
1.495	-0.351
1.495	-0.351
0.016	-17.715
0.016	-17.715
-1.282	非数字
-1.282	非数字
0.854	145.352
0.854	145.352
-2.869	1000000.000
-2.869	1000000.000
10.203	1000000.000
10.203	1000000.000
0.479	1000000.000
0.479	1000000.000
3.963	1000000.000
3.963	1000000.000
1.339	-1.845
1.339	-1.845
2.713	非数字
2.713	非数字
-9.440	1000000.000
-9.440	1000000.000
-5.368	非数字
-5.368	非数字
2.717	27.551
2.717	27.551
-1.950	非数字
-1.950	非数字
1.848	33.787
1.848	33.787
-2.792	-48.401
-2.792	-48.401
非数字	-3.374
非数字	-3.374
1.415	-59.203
1.415	-59.203
2.444	1000000.000
2.444	1000000.000
0.520	非数字
0.520	非数字
-1.565	非数字
-1.565	非数字
1.655	57.934
1.655	57.934
2.011	82.703
2.011	82.703
3.855	-57.072
3.855	-57.072
0.244	1000000.000
0.244	1000000.000
2.989	12.599
2.989	12.599
3.856	35.725
3.856	35.725
1.025	1000000.000
1.025	1000000.000
-0.669	非数字
-0.669	非数字
0.057	非数字
0.057	非数字
2.238	1000000.000
2.238	1000000.000
3.299	1000000.000
