File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,44,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MainWindow.g.cs,1652,1181,420,2,456,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MainWindow.g.i.cs,1652,1181,420,2,456,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MS1_Setting.g.cs,164,113,54,2,36,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\MS1_Setting.g.i.cs,164,113,54,2,36,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Ms2_advance.g.cs,171,117,54,2,39,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Ms2_advance.g.i.cs,171,117,54,2,39,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Ms2_setting.g.cs,272,189,79,2,68,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Ms2_setting.g.i.cs,272,189,79,2,68,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\OKCancelDialog.g.i.cs,106,71,39,2,20,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\OKCancelViewModel.g.i.cs,75,48,31,1,12,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\pBuild3.0.0_Content.g.i.cs,15,3,0,0,4,1,8,8,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\pBuild_Content.g.i.cs,14,2,0,0,4,1,8,8,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Protein_Adanvaced_Dialog.g.cs,97,65,37,2,17,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\Protein_Adanvaced_Dialog.g.i.cs,97,65,37,2,17,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\StartPage.g.cs,193,135,62,2,43,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug\StartPage.g.i.cs,193,135,62,2,43,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\App.g.cs,70,41,28,0,11,0,18,28,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\App.g.i.cs,70,41,28,0,11,0,18,28,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\ColorDialog.g.cs,131,90,46,3,26,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\ColorDialog.g.i.cs,131,90,46,3,26,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\ColorPicker.g.cs,387,271,107,2,101,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\ColorPicker.g.i.cs,387,271,107,2,101,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\DisplayPSM.g.cs,172,119,56,2,38,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\DisplayPSM.g.i.cs,172,119,56,2,38,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Display_ms2_table.g.cs,89,59,35,2,15,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Display_ms2_table.g.i.cs,89,59,35,2,15,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\GeneratedInternalTypeHelper.g.cs,63,27,13,3,10,1,26,44,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\GeneratedInternalTypeHelper.g.i.cs,63,27,13,3,10,1,26,44,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\MainWindow.g.cs,1652,1181,420,2,456,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\MainWindow.g.i.cs,1652,1181,420,2,456,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\MS1_Setting.g.cs,164,113,54,2,36,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\MS1_Setting.g.i.cs,164,113,54,2,36,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Ms2_advance.g.cs,171,117,54,2,39,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Ms2_advance.g.i.cs,171,117,54,2,39,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Ms2_setting.g.cs,272,189,79,2,68,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Ms2_setting.g.i.cs,272,189,79,2,68,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Protein_Adanvaced_Dialog.g.cs,97,65,37,2,17,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\Protein_Adanvaced_Dialog.g.i.cs,97,65,37,2,17,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\StartPage.g.cs,193,135,62,2,43,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release\StartPage.g.i.cs,193,135,62,2,43,0,15,20,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Properties\AssemblyInfo.cs,56,20,5,0,9,2,27,52,0,0
D:\WPF\pBuild3.0.1\pBuild3.0.0\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,50,0,1
D:\WPF\pBuild3.0.1\pBuild3.0.0\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
