Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,95,25830,20314,11239,1362,4090,276,1426,3382,0,8
D:\WPF\pBuild3.0.1\pBuild3.0.0,95,25830,20314,11239,1362,4090,276,1426,3382,0,8
D:\WPF\pBuild3.0.1\pBuild3.0.0\Properties,3,159,78,27,4,24,4,57,132,0,2
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj,53,14233,9877,4093,101,3519,6,837,1164,0,6
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Debug,29,7311,5063,2111,53,1799,4,449,620,0,4
D:\WPF\pBuild3.0.1\pBuild3.0.0\obj\Release,24,6922,4814,1982,48,1720,2,388,544,0,2
